id	path	name	movements	link	imslp	composer_id
5108543	Glazunov,_Alexander/String_Quartet_No.1,_Op.1	String Quartet No.1, Op.1	4	https://musescore.com/openscore-string-quartets/sets/5108543	#65357	25872
5108728	Glinka,_Mikhail/String_Quartet	String Quartet	4	https://musescore.com/openscore-string-quartets/sets/5108728	#40373	181885
5108729	Gossec,_François_Joseph/String_Quartet_in_C_minor,_RH_189	String Quartet in C minor, RH 189	2	https://musescore.com/openscore-string-quartets/sets/5108729	#355492	313667
5108686	Gounod,_Charles/String_Quartet_No.3_in_A_minor	String Quartet No.3 in A minor	4	https://musescore.com/openscore-string-quartets/sets/5108686		180278
5108687	Gouvy,_Théodore/String_Quartet,_Op.16_No.1	String Quartet, Op.16 No.1	4	https://musescore.com/openscore-string-quartets/sets/5108687	#16842	699322
5108691	Grieg,_Edvard/String_Quartet_No.1,_Op.27	String Quartet No.1, Op.27	4	https://musescore.com/openscore-string-quartets/sets/5108691	#40157	80621
11931955	Haydn,_Joseph/Die_Worte_des_Erlösers_am_Kreuze,_Hob.III50–56,_Op.51	Die Worte des Erlösers am Kreuze, Hob.III:50–56, Op.51	9	https://musescore.com/openscore-string-quartets/sets/11931955	#889028	7349
5769936	Haydn,_Joseph/String_Quartet_in_A_major,_Hob.III24,_Op.9_No.6	String Quartet in A major, Hob.III:24, Op.9 No.6	4	https://musescore.com/openscore-string-quartets/sets/5769936	#106807	7349
5178725	Haydn,_Joseph/String_Quartet_in_A_major,_Hob.III36,_Op.20_No.6	String Quartet in A major, Hob.III:36, Op.20 No.6	4	https://musescore.com/openscore-string-quartets/sets/5178725	#05273	7349
13166836	Haydn,_Joseph/String_Quartet_in_A_major,_Hob.III7,_Op.2_No.1	String Quartet in A major, Hob.III:7, Op.2 No.1	5	https://musescore.com/openscore-string-quartets/sets/13166836	#887271	7349
13166941	Haydn,_Joseph/String_Quartet_in_B-flat_major,_Hob.III12,_Op.2_No.6	String Quartet in B-flat major, Hob.III:12, Op.2 No.6	5	https://musescore.com/openscore-string-quartets/sets/13166941	#887276	7349
5769900	Haydn,_Joseph/String_Quartet_in_B-flat_major,_Hob.III23,_Op.9_No.5	String Quartet in B-flat major, Hob.III:23, Op.9 No.5	4	https://musescore.com/openscore-string-quartets/sets/5769900	#106806	7349
5470754	Haydn,_Joseph/String_Quartet_in_B-flat_major,_Hob.III5,_Op.1_No.5	String Quartet in B-flat major, Hob.III:5, Op.1 No.5	3	https://musescore.com/openscore-string-quartets/sets/5470754	#106789	7349
5108563	Haydn,_Joseph/String_Quartet_in_B-flat_major,_Hob.III67,_Op.64_No.3	String Quartet in B-flat major, Hob.III:67, Op.64 No.3	4	https://musescore.com/openscore-string-quartets/sets/5108563	#06537	7349
6403771	Haydn,_Joseph/String_Quartet_in_B-flat_major,_Hob.III78,_Op.76_No.4	String Quartet in B-flat major, Hob.III:78, Op.76 No.4	4	https://musescore.com/openscore-string-quartets/sets/6403771	#28080	7349
5446197	Haydn,_Joseph/String_Quartet_in_B-flat_major_(“La_Chasse”),_Hob._III1,_Op.1_No.1	String Quartet in B-flat major (“La Chasse”), Hob. III:1, Op.1 No.1	5	https://musescore.com/openscore-string-quartets/sets/5446197	#106785	7349
5108562	Haydn,_Joseph/String_Quartet_in_B_minor,_Hob.III68,_Op.64_No.2	String Quartet in B minor, Hob.III:68, Op.64 No.2	4	https://musescore.com/openscore-string-quartets/sets/5108562	#06536	7349
5769894	Haydn,_Joseph/String_Quartet_in_C_major,_Hob.III19,_Op.9_No.1	String Quartet in C major, Hob.III:19, Op.9 No.1	4	https://musescore.com/openscore-string-quartets/sets/5769894	#106803	7349
5178617	Haydn,_Joseph/String_Quartet_in_C_major,_Hob.III32,_Op.20_No.2	String Quartet in C major, Hob.III:32, Op.20 No.2	4	https://musescore.com/openscore-string-quartets/sets/5178617	#05269	7349
5470757	Haydn,_Joseph/String_Quartet_in_C_major,_Hob.III6,_Op.1_No.6	String Quartet in C major, Hob.III:6, Op.1 No.6	5	https://musescore.com/openscore-string-quartets/sets/5470757	#106790	7349
5108561	Haydn,_Joseph/String_Quartet_in_C_major,_Hob.III65,_Op.64_No.1	String Quartet in C major, Hob.III:65, Op.64 No.1	4	https://musescore.com/openscore-string-quartets/sets/5108561	#06535	7349
5954362	Haydn,_Joseph/String_Quartet_in_C_major,_Hob.III72,_Op.74_No.1	String Quartet in C major, Hob.III:72, Op.74 No.1	4	https://musescore.com/openscore-string-quartets/sets/5954362	#24480	7349
